-3.142	0.0079	-147.5,0.00264 77.5,0.00264 142.5,0.00264
-3.107	0.0185	-180,0.00528 -177.5,0.00528 -147.5,0.00264 52.5,0.00264 77.5,0.00264
-3.019	0.0158	-177.5,0.00264 -172.5,0.00264 32.5,0.00264 52.5,0.00264 132.5,0.00264 142.5,0.00264
-2.932	0.0211	-172.5,0.00264 -167.5,0.00264 -147.5,0.00264 -142.5,0.00264 -7.5,0.00264 32.5,0.00264 122.5,0.00264 132.5,0.00264
-2.845	0.0158	-82.5,0.00264 -52.5,0.00264 -37.5,0.00264 -7.5,0.00264 112.5,0.00264 122.5,0.00264
-2.758	0.0211	-142.5,0.00264 -137.5,0.00264 -92.5,0.00264 -82.5,0.00264 -52.5,0.00264 -37.5,0.00264 97.5,0.00264 112.5,0.00264
-2.670	0.0158	-97.5,0.00264 -92.5,0.00264 67.5,0.00264 77.5,0.00264 87.5,0.00264 97.5,0.00264
-2.583	0.0211	-137.5,0.00264 -132.5,0.00264 -127.5,0.00264 -97.5,0.00264 57.5,0.00264 67.5,0.00264 77.5,0.00264 87.5,0.00264
-2.496	0.0158	-132.5,0.00264 -127.5,0.00264 2.5,0.00264 32.5,0.00264 52.5,0.00264 57.5,0.00264
-2.409	0.0106	-17.5,0.00264 2.5,0.00264 32.5,0.00264 52.5,0.00264
-2.321	0.0053	-37.5,0.00264 -17.5,0.00264
-2.234	0.0158	-172.5,0.00264 -167.5,0.00264 -47.5,0.00264 -37.5,0.00264 47.5,0.00264 52.5,0.00264
-2.147	0.0106	-57.5,0.00264 -47.5,0.00264 52.5,0.00264 62.5,0.00264
-2.059	0.0106	-62.5,0.00264 -57.5,0.00264 62.5,0.00264 72.5,0.00264
-1.972	0.0106	42.5,0.00264 47.5,0.00264 72.5,0.00264 82.5,0.00264
-1.885	0.0053	77.5,0.00264 82.5,0.00264
-1.798	0.0106	37.5,0.00264 42.5,0.00264 67.5,0.00264 77.5,0.00264
-1.710	0.0158	-172.5,0.00264 -167.5,0.00264 -137.5,0.00264 -122.5,0.00264 52.5,0.00264 67.5,0.00264
-1.623	0.0211	-142.5,0.00264 -137.5,0.00264 -122.5,0.00264 -112.5,0.00264 32.5,0.00264 37.5,0.00264 47.5,0.00264 52.5,0.00264
-1.536	0.0158	-112.5,0.00264 -92.5,0.00264 22.5,0.00264 32.5,0.00264 47.5,0.00264 52.5,0.00264
-1.449	0.0106	-147.5,0.00264 -142.5,0.00264 17.5,0.00264 22.5,0.00264
-1.361	0.0264	-172.5,0.00264 -167.5,0.00264 -92.5,0.00264 -87.5,0.00264 -67.5,0.00264 -62.5,0.00264 12.5,0.00264 17.5,0.00264 52.5,0.00264 62.5,0.00264
-1.274	0.0158	-177.5,0.00264 -172.5,0.00264 -152.5,0.00264 -147.5,0.00264 62.5,0.00264 97.5,0.00264
-1.187	0.0211	-180,0.00264 -177.5,0.00264 -157.5,0.00264 -152.5,0.00264 7.5,0.00264 12.5,0.00264 97.5,0.00264 102.5,0.00264
-1.100	0.0264	-162.5,0.00264 -157.5,0.00264 2.5,0.00264 7.5,0.00264 27.5,0.00264 42.5,0.00264 102.5,0.00264 107.5,0.00264 172.5,0.00264 180,0.00264
-1.012	0.0317	-167.5,0.00264 -162.5,0.00264 -7.5,0.00264 2.5,0.00264 22.5,0.00264 27.5,0.00264 42.5,0.00264 72.5,0.00264 107.5,0.00264 112.5,0.00264 167.5,0.00264 172.5,0.00264
-0.925	0.0264	-172.5,0.00264 -167.5,0.00264 -12.5,0.00264 -7.5,0.00264 12.5,0.00264 22.5,0.00264 72.5,0.00264 92.5,0.00264 157.5,0.00264 167.5,0.00264
-0.838	0.0369	-177.5,0.00264 -172.5,0.00264 -87.5,0.00264 -82.5,0.00264 -22.5,0.00264 -12.5,0.00264 7.5,0.00264 12.5,0.00264 92.5,0.00264 97.5,0.00264 112.5,0.00264 117.5,0.00264 147.5,0.00264 157.5,0.00264
-0.750	0.0396	-180,0.00264 -177.5,0.00264 -67.5,0.00264 -62.5,0.00264 -32.5,0.00264 -22.5,0.00264 2.5,0.00264 7.5,0.00264 117.5,0.00264 122.5,0.00264 137.5,0.00264 147.5,0.00264 172.5,0.00264 172.5,0.00264 180,0.00264
-0.663	0.0211	-62.5,0.00264 -32.5,0.00264 -7.5,0.00264 2.5,0.00264 122.5,0.00264 137.5,0.00264 167.5,0.00264 172.5,0.00264
-0.576	0.0158	-12.5,0.00264 -7.5,0.00264 97.5,0.00264 102.5,0.00264 157.5,0.00264 167.5,0.00264
-0.489	0.0211	-82.5,0.00264 -77.5,0.00264 -27.5,0.00264 -12.5,0.00264 102.5,0.00264 107.5,0.00264 147.5,0.00264 157.5,0.00264
-0.401	0.0211	-77.5,0.00264 -67.5,0.00264 -47.5,0.00264 -27.5,0.00264 107.5,0.00264 112.5,0.00264 127.5,0.00264 147.5,0.00264
-0.314	0.0106	-67.5,0.00264 -47.5,0.00264 112.5,0.00264 127.5,0.00264
-0.227	0.0000	
-0.140	0.0000	
-0.052	0.0000	
0.035	0.0000	
0.122	0.0000	
0.209	0.0000	
0.314	0.0053	47.5,0.00264 67.5,0.00264
0.401	0.0106	32.5,0.00264 47.5,0.00264 67.5,0.00264 77.5,0.00264
0.489	0.0106	22.5,0.00264 32.5,0.00264 77.5,0.00264 82.5,0.00264
