     0.021    16.903     0.321
     0.028    16.505     0.142
     0.035    15.212     0.062
     0.042    14.141     0.051
     0.049    12.765     0.050
     0.056    11.550     0.040
     0.063    10.282     0.027
     0.070     9.113     0.015
     0.077     8.000     0.014
     0.084     6.967     0.011
     0.091     6.053     0.011
     0.098     5.253     0.009
     0.105     4.578     0.009
     0.112     3.977     0.009
     0.119     3.489     0.011
     0.126     3.084     0.010
     0.133     2.741     0.010
     0.140     2.453     0.010
     0.147     2.163     0.009
     0.154     1.932     0.009
     0.161     1.696     0.009
     0.168     1.479     0.009
     0.175     1.268     0.009
     0.182     1.115     0.009
     0.189     0.956     0.009
     0.196     0.815     0.009
     0.203     0.689     0.009
     0.210     0.587     0.009
     0.217     0.494     0.009
     0.224     0.433     0.009
     0.231     0.361     0.009
     0.238     0.325     0.009
     0.245     0.283     0.009
     0.252     0.251     0.011
     0.259     0.246     0.009
     0.266     0.240     0.009
     0.273     0.229     0.008
     0.280     0.219     0.008
     0.287     0.221     0.008
     0.294     0.220     0.008
     0.301     0.229     0.008
     0.308     0.230     0.008
     0.315     0.219     0.008
     0.322     0.229     0.008
     0.329     0.240     0.008
     0.336     0.220     0.008
     0.343     0.227     0.008
     0.350     0.227     0.008
